module,type,name,res_id,src,value
account,rml,account.third_party_ledger,0,1cm 27.7cm 20cm 27.7cm,
account,rml,account.vat.declaration,0,1cm 27.7cm 20cm 27.7cm,
account,selection,"account.automatic.reconcile,init,power",0,2,
account,selection,"account.automatic.reconcile,init,power",0,3,
account,selection,"account.config.wizard,period",0,3 Months,季度
account,model,"account.payment.term,name",account.account_payment_term,30 Days End of Month,月只有30天
account,selection,"account.automatic.reconcile,init,power",0,4,
account,selection,"account.automatic.reconcile,init,power",0,5,
account,selection,"account.automatic.reconcile,init,power",0,6,
account,selection,"account.automatic.reconcile,init,power",0,7,
account,selection,"account.automatic.reconcile,init,power",0,8,
account,selection,"account.automatic.reconcile,init,power",0,9,
account,rml,account.account.balance,0,:,余额
account,rml,account.general.journal,0,:,
account,rml,account.overdue,0,:,
account,rml,account.journal.period.print,0,A/c No.,
account,field,"account.account.type,name",0,Acc. Type Name,科目类别名称
account,view,account.account,0,Account,科目
account,rml,account.account.balance,0,Account,科目
account,wizard_field,"account.account.balance.report,account_selection,Account_list",0,Account,科目
account,wizard_field,"account.automatic.reconcile,init,writeoff_acc_id",0,Account,科目
account,field,"account.bank.statement.line,account_id",0,Account,科目
account,field,"account.bank.statement.reconcile.line,account_id",0,Account,科目
account,field,"account.invoice,account_id",0,Account,科目
account,field,"account.invoice.line,account_id",0,Account,科目
account,field,"account.journal,account_control_ids",0,Account,科目
account,field,"account.model.line,account_id",0,Account,科目
account,field,"account.move.line,account_id",0,Account,科目
account,wizard_field,"account.move.line.reconcile.select,init,account_id",0,Account,科目
account,wizard_field,"account.move.line.unreconcile.select,init,account_id",0,Account,科目
account,model,"ir.model,name",account.model_account_account,Account,科目
account,wizard_view,"account.analytic.line,init",0,Account Analytic Lines Analysis,科目分析明细核算
account,model,"ir.actions.report.xml,name",account.account_account_balance,Account Balance,科目余额
account,model,"ir.actions.wizard,name",account.wizard_account_balance_report,Account Balance,科目余额
account,model,"ir.actions.wizard,name",account.wizard_balance_report,Account Balance,科目余额
account,model,"ir.ui.menu,name",account.menu_account_balance_report,Account Balance,科目余额
account,rml,account.account.balance,0,Account Balance -,科目余额-
account,field,"account.analytic.account,code",0,Account Code,科目编码
account,view,account.config.wizard,0,Account Configure,科目设置
account,model,"ir.actions.act_window,name",account.action_account_config_wizard_form,Account Configure Wizard ,科目定义向导
account,view,account.analytic.account,0,Account Data,科目数据
account,field,"account.fiscal.position.account,account_dest_id",0,Account Destination,科目到
